,location,recognizability,age,participant_id,drawing_category,distance,distance_euclidean,distance_Beijing,distance_euclidean_Beijing,distance_Kisumu,distance_euclidean_Kisumu,distance_USA,distance_euclidean_USA,distance_India,distance_euclidean_India
2344,USA,0.2294921875,7,e21548098146005,hat,0.03857,3.223,0.0615234375,4.0546875,0.04345703125,3.412109375,0.03857421875,3.22265625,0.04248,3.361
2345,USA,0.8056640625,5,e21542061442525,house,0.0415,3.193,0.06005859375,3.8359375,0.07373046875,4.2421875,0.04150390625,3.193359375,0.0547,3.688
2346,USA,0.09979248046875,8,e21550687622483,hat,0.03564,3.38,0.05908203125,4.2421875,0.0615234375,4.33984375,0.03564453125,3.380859375,0.0581,4.227
2347,USA,0.1785888671875,9,e21556226883192,cup,0.0547,4.027,0.06201171875,4.26171875,0.10302734375,5.42578125,0.0546875,4.02734375,0.0762,4.69
2348,USA,0.33203125,5,e21543430495947,airplane,0.05615,3.922,0.08203125,4.75390625,0.072265625,4.4140625,0.05615234375,3.921875,0.0659,4.242
2349,USA,0.181884765625,8,e21542229353364,cup,0.04053,3.451,0.04931640625,3.80078125,0.05810546875,4.125,0.04052734375,3.451171875,0.0542,4.008
2350,USA,0.310546875,5,e21541191137910,watch,0.0337,3.01,0.0439453125,3.431640625,0.044921875,3.45703125,0.03369140625,3.009765625,0.0581,3.926
2351,USA,0.0292816162109375,9,e21552764741235,bike,0.06836,4.215,0.1064453125,5.2890625,0.07861328125,4.53515625,0.068359375,4.21484375,0.0762,4.47
2352,USA,0.07427978515625,5,e21547062251659,bike,0.0835,4.8,0.09033203125,4.95703125,0.095703125,5.09765625,0.08349609375,4.80078125,0.0747,4.527
2353,USA,0.9921875,8,e21547674347301,house,0.04053,3.158,0.04638671875,3.376953125,0.07861328125,4.375,0.04052734375,3.158203125,0.04736,3.41
2354,USA,0.97998046875,7,e21545255476223,tree,0.0337,3.064,0.04541015625,3.50390625,0.03515625,3.11328125,0.03369140625,3.064453125,0.03516,3.12
2355,USA,0.568359375,4,e21547664938821,watch,0.01953,2.287,0.041015625,3.30859375,0.0361328125,3.119140625,0.01953125,2.287109375,0.04102,3.297
2356,USA,0.9580078125,9,e21556226883192,bird,0.0498,3.691,0.04931640625,3.65625,0.06982421875,4.328125,0.0498046875,3.69140625,0.0498,3.719
2357,USA,0.0170440673828125,5,e21542057631101,car,0.05762,3.895,0.0673828125,4.21875,0.0673828125,4.2265625,0.0576171875,3.89453125,0.0703,4.297
2358,USA,0.85986328125,9,e21553637857619,watch,0.04932,3.584,0.05517578125,3.771484375,0.05517578125,3.7890625,0.04931640625,3.583984375,0.0498,3.59
2359,USA,0.04937744140625,5,e21544206692186,bike,0.05566,3.898,0.07666015625,4.55078125,0.06201171875,4.1015625,0.0556640625,3.8984375,0.06396,4.17
2360,USA,0.63427734375,9,e21550773711411,watch,0.04297,3.316,0.07666015625,4.38671875,0.080078125,4.45703125,0.04296875,3.31640625,0.0757,4.355
2361,USA,0.259765625,5,e21541191137910,airplane,0.04834,3.6,0.05419921875,3.849609375,0.04931640625,3.646484375,0.04833984375,3.599609375,0.04736,3.57
2362,USA,0.1251220703125,5,e21542047659207,bird,0.03613,3.088,0.06005859375,4.03125,0.04052734375,3.28515625,0.0361328125,3.087890625,0.05322,3.74
2363,USA,0.74755859375,6,e21541017927896,bike,0.02197,2.475,0.03125,2.986328125,0.03759765625,3.224609375,0.02197265625,2.474609375,0.02783,2.83
2364,USA,0.294677734375,5,e21543430495947,watch,0.06104,3.885,0.0712890625,4.28125,0.080078125,4.48828125,0.06103515625,3.884765625,0.083,4.613
2365,USA,0.69970703125,5,e21542057631101,cat,0.03857,3.467,0.04736328125,3.791015625,0.05908203125,4.16796875,0.03857421875,3.466796875,0.05518,4.004
